UMLS_id,MM_symptom_id,MeSH_tree_numbers,MM_symptom_name
C0243065,SMMS00314,,Aplasia
C0040409,SMMS00318,C07.465.910,Tongue Disorder
C0085633,SMMS00326,,Emotional Instability
C0030193,SMMS00337,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Pain
C0333139,SMMS00339,,Pneumatosis
C0024103,SMMS00347,,Breast Mass
C0013473,SMMS00354,F03.400,Eating Disorder
C0040021,SMMS00370,C14.907.137.870|C14.907.940.905,Buerger Disease
C0040252,SMMS00372,,Tinea Corporis
C0241633,SMMS00394,,Dryness Vaginal
C0856623,SMMS00400,,Orofacial Oedema
C0042035,SMMS00402,C12.777.934|C13.351.968.934,Micturition Disorder
C0234230,SMMS00412,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Burning Pain
C0700361,SMMS00420,,Emotional Distress
C0458257,SMMS00431,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Splitting Pain
C2129214,SMMS00435,,Stool Loose
C0025427,SMMS00472,C25.723.647,Mercurialism
C0549273,SMMS00474,,Abdominal Pain Aggravated
C0740441,SMMS00528,,Diarrhea Acute
C0003123,SMMS00532,C23.888.821.108,Anorexia
C0038056,SMMS00534,A12.200.808,Sputum
C0010263,SMMS00555,C05.651.475|C10.597.613.500|C23.888.592.608.500,Cramp In Limb
C0751407,SMMS00569,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Migratory Pain
C0007078,SMMS00570,C01.252.410.868.820.270.200|C01.252.825.770.270.200|C01.539.800.720.770.270.200|C17.800.838.765.770.270.200,Carbuncle
C0235710,SMMS00578,,Chest Symptom Discomfort
C0024902,SMMS00598,C10.597.617.550|C23.888.592.612.530|F02.830.816.308|G11.561.790.308,Breast Pain
C0032797,SMMS00614,C13.703.420.725|C13.703.844.700|C23.550.414.993.850,Hemorrhage Postpartum
C0239182,SMMS00622,,Diarrhea Watery
C0234238,SMMS00627,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Ache
C0086692,SMMS00666,C04,Neoplasm Benign Nos
C0851578,SMMS00682,C10.886|C23.888.592.796|F03.870,Sleep Disorder
C0473508,SMMS00689,C13.703.420.725|C13.703.844.700|C23.550.414.993.850,Hemorrhage After First 24 Hours Following Delivery Of Placenta
C0012359,SMMS00712,C23.300.325,Dilation
C0520477,SMMS00716,C12.294.565.500,Prostate Adenoma
C0004093,SMMS00718,C23.888.089,Asthenia
C0014531,SMMS00719,C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883,Epidermophytosis
C0155536,SMMS00726,C09.218.458|C10.597.751.418|C23.888.592.763.393,Paracusia
C0162311,SMMS00746,C17.800.329.937.122|C23.300.035,Alopecia Hereditaria
C0260662,SMMS00748,C09.218.458|C10.597.751.418|C23.888.592.763.393,Hearing Disorder
C1971624,SMMS00774,,Loss Of Appetite
C0574068,SMMS00783,,Rib Pain
C0005001,SMMS00787,C12.294.565.500,Prostate Hypertrophy Benign
C0857257,SMMS00788,,Bloating Feeling
C0006152,SMMS00795,,Breast Swelling
C0234254,SMMS00804,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Pain Radiating
C0458259,SMMS00806,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,Crushing Pain
C2937421,SMMS00822,C12.294.565.500,"Prostate, Hyperplasia, Nodular"
C0025320,SMMS00827,G08.686.157.500|G08.686.841.249.500,Menopause
C0085688,SMMS00847,,Breast Engorgement
C1262141,SMMS00897,,Poor Quality Sleep
C0232462,SMMS00916,,Decreased Appetite
C0242830,SMMS00930,C01.252.410.040.552.846.719.500,King Evil
C0039231,SMMS01051,,Heartbeats Increased
