Symptom_pinyin,Symptom_property,Symptom_locus,TCM_symptom_id,TCM_symptom_name,Type
Ting Jing,肝肾亏虚,肾,SMTS01110,停经,Synonymous terms
Tong Kong San Da,元气欲脱,脑肾,SMTS01113,瞳孔散大,Synonymous terms
Tong Chu Ju An,淤血,,SMTS01115,痛处拒按,Synonymous terms
Tong Jing,肝气郁滞,子宫,SMTS01116,痛经,Ontological terms
Tong Ru Zhen Ci,,,SMTS01117,痛如针刺,Synonymous terms
Tong You Ding Chu,淤血,,SMTS01119,痛有定处,Synonymous terms
Tou Yun,肝气上逆,头,SMTS01140,头晕,Ontological terms
Tou Yun Mu Xuan,肝气上逆,头,SMTS01141,头晕目眩,Ontological terms
Tuo Xie,血热,皮肤,SMTS01161,脱屑,Synonymous terms
Guan Fu Zhang Tong,肝气犯胃,脾胃,SMTS01180,脘腹胀痛,Ontological terms
Xi Nuan,肾阳虚,,SMTS01240,喜暖,Synonymous terms
Xiao Fu Liang Ce Zhang Tong,肝气郁滞,子宫,SMTS01298,小腹两侧胀痛,Synonymous terms
Xie Lei Teng Tong,淤血阻滞,心肺,SMTS01313,胁肋疼痛,Ontological terms
Xin Fan,心阴虚,心,SMTS01324,心烦,Ontological terms
Xin Fan Bu Ning,火热扰心,心,SMTS01326,心烦不宁,Synonymous terms
Xin Huang,心气虚,心,SMTS01331,心慌,Synonymous terms
Xin Ji,心血虚,心,SMTS01333,心悸,Ontological terms
Xin Ji Bu An,心血虚,心,SMTS01334,心悸不安,Synonymous terms
Xin Ji Bu Ning,心血虚,心,SMTS01335,心悸不宁,Synonymous terms
Xin Xie Bu Zu,心血虚,心,SMTS01349,心血不足,Synonymous terms
Xing Han,阳虚,肾,SMTS01351,形寒,Synonymous terms
Xing Gong Neng Shuai Tui,肾虚,肾,SMTS01356,性功能衰退,Synonymous terms
Xing Gong Neng Zhang Ai,肾虚,肾,SMTS01357,性功能障碍,Synonymous terms
Xuan Yun,风眩内动、清窍不宁或清阳不升，脑窍失养,头部,SMTS01439,眩晕,Ontological terms
Xie Ya Pian Gao,肝阳上亢,,SMTS01450,血压偏高,Synonymous terms
Yan Bian Ci Yang,肝风内动,肝目,SMTS01502,眼边刺痒,Synonymous terms
Yao Di Suan Tong,肾虚,肾膀胱,SMTS01523,腰骶酸痛,Synonymous terms
Yi Gan,肺卫不固,肺 膀胱 ,SMTS01564,易感,Synonymous terms
Yin Dao Gan Zao,脾虚,阴道,SMTS01571,阴道干燥,Synonymous terms
Yin Tong,,,SMTS01586,隐痛,Synonymous terms
Yong Ju,热毒,皮肤,SMTS01593,痈疽,Ontological terms
Yue Jing Bu Diao,气虚血瘀,子宫,SMTS01616,月经不调,Ontological terms
Yue Jing Hou Cuo,血虚,子宫,SMTS01618,月经后错,Ontological terms
Yue Jing Liang Duo ， Wei Chou,肝经湿热,子宫,SMTS01620,月经量多，味臭,Synonymous terms
Yue Jing Liang Shao,气血亏虚,子宫,SMTS01621,月经量少,Ontological terms
Yue Jing Ti Qian,气虚,子宫,SMTS01622,月经提前,Synonymous terms
Yue Jing Xian Hou Bu Ding Qi,气虚,子宫,SMTS01623,月经先后不定期,Ontological terms
Yun Che,,,SMTS01624,晕车,Synonymous terms
Yun Chuan,,,SMTS01625,晕船,Synonymous terms
Yun Xuan,,,SMTS01626,晕眩,Ontological terms
Zao Chan,肝肾亏虚,子宫,SMTS01630,早产,Synonymous terms
Zhang Tong,脾虚,,SMTS01642,胀痛,Ontological terms
Zhi Ti Fa Li,脾气虚,脾,SMTS01661,肢体乏力,Synonymous terms
Zu Jing Hong Zhong Re Tong,热证,四肢,SMTS01710,足胫红肿热痛,Synonymous terms
Wei Huang,,,SMTS02249,萎黄,Ontological terms
Die Pu Sun Shang,,,SMTS02284,跌扑损伤,Ontological terms
