MOL_id,Molecule_name,evidence,PubChem_CID,TCMID_id,TCMSP_id,OB_score,TCM_ID_id,CAS_id,type
SMIT00121,Adenine,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",190,617,MOL001788,62.8058,7163,73-24-5|73-42-5,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00221,Chebulagic Acid,,250397|134694193|118701409|44576040|442674|102004756|72<br>285|100988942,25032|3490,MOL005065|MOL006825|MOL009143,14.5841,5786,23094-71-5,
SMIT00222,Chebulinic Acid,,452240|133564718|16745534|138857791|367138|118701044|99<br>937814|250396|129896695|5315810|102004755|72284,23076|3493,MOL005066|MOL009144,3.01372,5783,18942-26-2,
SMIT00224,Corilagin,,73568,4055,MOL005079,3.01372,5495,23094-69-1,
SMIT00269,Ginsenoside Rc,,12855889|100018,23181|8425,MOL007479,8.12585,4028,11021-14-0,
SMIT00270,Ginsenoside Rf,,441922|6441008,23202|8428,MOL007481|MOL011400,15.3275,14742,52286-58-5,
SMIT00395,Β-Amyrin Acetate,,,1112,MOL000286|MOL003344,9.10739,,1616-93-9,
SMIT00396,Pachymic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a><a href=""http://cdmd.cnki.com.cn/Article/CDMD-10572-1016276758.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp当归芍药散治疗AD的入血生物活性成分及复方对其生物利用度的影响 &nbsp</a><br> </kbd>",5484385,23278,MOL000289,33.6279,,29070-92-6,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00397,Hederagenin,,73299,9259,MOL000296,36.9139,,465-99-6,
SMIT00425,Sucrose,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1115|5988,20430,MOL000842,7.17082,,25702-74-3|57-50-1,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00523,Quinic Acid,,6508,25992,MOL003069,55.9242,,77-95-2,
SMIT00623,Pachypodol,,5281677,16487,MOL005890,75.0637,,,
SMIT00751,Ellipticine,,3213,6758,MOL009135,30.8234,,519-23-3,
SMIT00752,Punicalagin,,44584733|16149716|16148440|16129869,18190,MOL009146,18.166,,65995-63-3,
SMIT00868,"3Β-Hydroxylanosta-7,9(11),24-Trien-21-Oic Acid",,,10310,MOL000274,24.9155,,29220-16-4,
SMIT00930,Dehydroeburicoic Acid,,15250826,4908,MOL000300,44.1723,,,
SMIT00990,Trametenolic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",12309443,21486,MOL000275,38.7115,,24160-36-9,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT01041,Methyl Geranate,,5365910,7441,MOL003622,26.3506,,1189-09-9,
SMIT01067,Tumulosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a>;<br><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a> </kbd>",12314446,22092,MOL000277,15.9544,,508-24-7,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT01162,20-Hexadecanoylingenol,,,9488,MOL002307|MOL011455,28.204,,,
SMIT01212,Gallic Acid-3-O-(6'-O-Galloyl)-Glucoside,,,30995,MOL000554,30.2503,,,
SMIT01232,7-Dehydrosigmasterol,,,25941,MOL006376,37.4231,,,
SMIT01375,7-Dehydrostigmasterol,,12303924,25941|4970,,,7461,,
SMIT01392,Eicosane,,8222,6719,,,4670,112-95-8,
SMIT01443,Heptadecane,,12398,9377,,,3786,629-78-7,
SMIT01561,"1,2,3,4,6-Pentagalloylglucose",,65238,16823,,,9623,60768-30-1,
SMIT01616,Sennoside A,,73111,19734,MOL002368,3.33817,1023,8013-11-4,
SMIT01663,Ginsenoside Rd,,3036963|24721561,23034|8426,,,4027,52705-93-8,
SMIT01670,Ginsenoside Rg1,,441923,23117|8429,,,4022,22427-39-0,
SMIT01673,Ginsenoside Re,,73149|441921,23129|8427,MOL005338,4.27273,4025,51542-56-4|52286-59-6,
SMIT01682,Ginsenoside Rb1,,9898279,23219|8422,MOL005331,6.23633,11399,41753-43-9,
SMIT01683,Gallic Acid,,370,23225|8094,,,4216,149-91-7,
SMIT01736,Chebulin,,,23405,,,5784,502-30-7,
SMIT01765,Caproic Acid,,8892,23479|23875|3139,,,5901,142-62-1,
SMIT01905,Octadecane,,11635,23828,,,2166,693-45-3,
SMIT01925,Capric Acid,,2969,23479|23875|3138,,,5902,334-48-5,
SMIT02021,Linoleic Acid,,5280450,24136,,,2941,60-33-3,
SMIT02032,Benzoic Acid,,243,2224|24166,,,6373,65-85-0,
SMIT02121,Azelaic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",2266,2056|24407,,,6449,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT02275,Hexadecanoic Acid,,985,24748|9485,,,16017|16457,,
SMIT02396,Ginsenoside Rb2,,6917976,25051|8423,,,19109,,
SMIT02406,Arachidic Acid,,10467,1598|25083,,,6720,506-30-9,
SMIT02407,Docosanoic Acid,,8215,25084|6536,,,4749,112-85-6,
SMIT02910,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-Dihydroxy-4,4,<br>10,13,14-Pentamethyl-2,3,5,6,12,15,16,17-Octahydro-1H-Cyclopenta[A]Phenanthren-17-Yl]-6-Methylhept-5-Enoic Acid",,,,MOL000273,30.9321,,,
SMIT02911,"7,9(11)-Dehydropachymic Acid",,,,MOL000276,35.1059,,77012-31-8,
SMIT02912,Beta-Glucan,,439262,,MOL000278,0.732104,,9051-97-2,
SMIT02913,Cerevisterol,,12302764|10181133|12302766|101733|5377283,,MOL000279,37.9638,,516-37-0,
SMIT02914,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-Dihydroxy-4,4,<br>10,13,14-Pentamethyl-2,3,5,6,12,15,16,17-Octahydro-1H-Cyclopenta[A]Phenanthren-17-Yl]-5-Isopropyl-Hex-5-Enoic Acid",,,,MOL000280,31.0721,,6754-16-1,
SMIT02915,Dimethyl L-Malate,,10285815,,MOL000281,8.59235,,70681-41-3,
SMIT02916,"Ergosta-7,22E-Dien-3Beta-Ol",,,,MOL000282,43.5071,,1105-11-9,
SMIT02917,Ergosterol Peroxide,,5351516,7250,MOL000283,40.3627,,,
SMIT02918,L-Uridine,,466466,,MOL000284,23.4035,,26287-69-4,
SMIT02919,"(2R)-2-[(5R,10S,13R,14R,16R,17R)-16-Hydroxy-3-Keto-4,4,<br>10,13,14-Pentamethyl-1,2,5,6,12,15,16,17-Octahydrocyclopenta[A]Phenanthren-17-Yl]-5-Isopropyl-Hex-5-Enoic Acid",,,,MOL000285,38.2552,,465-18-9,
SMIT02920,3Beta-Hydroxy-24-Methylene-8-Lanostene-21-Oic Acid,,73402,,MOL000287,38.6999,,,
SMIT02921,Poricoic Acid A,,5471851,,MOL000290,30.6069,,137551-38-3,
SMIT02922,Poricoic Acid B,,78302688|5471852|3086648,31830,MOL000291,30.5246,,137551-39-4,
SMIT02923,Poricoic Acid C,,56668247,,MOL000292,38.1514,,151200-89-4,
SMIT02924,Poricoic Acid D,,44424827,,MOL000293,22.3805,,151200-90-7,
SMIT02925,Poricoic Acid Dm,,44424830|46882757,,MOL000294,29.3184,,151200-91-8,
SMIT02926,Alexandrin,,5742590,,MOL000295|MOL001929|MOL003770|MOL005398,20.6319,,83-48-7,
SMIT02927,Trimethyl Citrate,,74112,,MOL000299,67.6114,,1587-20-8,
SMIT02928,2-Lauroleic Acid,,96204,,MOL000301,31.4159,,32466-54-9,
SMIT02929,Undekansaeure,,8180,,MOL000302,30.1432,,112-37-8,
SMIT02930,Ethyl Glucoside,,428040|11127487|133645885|121667,,MOL000304,15.2097,,3198-49-0,
SMIT04550,Sennoside C,,135398044|46173829,19736,MOL002275,3.994,,37271-16-2,
SMIT04558,1-O-Galloyl-Glycerol,,,8109,MOL002285,63.2077,,,
SMIT06410,Chrysanthemaxanthin,,21160900,3592,MOL004492,38.724,,26989-20-8,
SMIT09321,Polystachoside,,,31826,MOL007982,29.86,,22255-13-6,
SMIT10309,Peraksine,,101289816|91895477|102004388|78146432,16896,MOL009136,82.581,,15527-80-7,
SMIT10311,Teresautalic Acid,,,30327,MOL009138,41.4238,,,
SMIT10317,Catharanthamine,,327791|156951,3320,MOL009148|MOL012975,12.5311,,78779-58-5,
SMIT10318,Cheilanthifoline,,5117621|440582,3494,MOL009149,46.505,,483-44-3,
SMIT12024,Quinicine,,65753,18407,MOL011072,75.4432,,52211-63-9,
SMIT14157,O-Acetylpachymicacid-25-Ol,,,478,,,,,
SMIT14380,Arjungenin,,12444386,1732,,,,,
SMIT14753,Coriose,,192877,4057,,,,,
SMIT14937,Dehydroabieticacid Methyl Ester,,,4873,,,,,
SMIT14958,Dehydroshikimicacid,,,4967,,,,,
SMIT14962,Dehydrotumulosicacid,,,4977,,,,,
SMIT15205,Dodecenoicacid,,,6543,,,,,
SMIT15214,Eburicoicacid,,,6673,,,,,
SMIT15215,Eburicol,,634628|146159521|9803310|65172,6674,,,,,
SMIT15255,3-Epidehydrotumulosicacid,,,6888,,,,,
SMIT15296,Ergotamine,,8223,7251,,,,,
SMIT15328,Ethyl Gallate,,13250,7440,,,,,
SMIT15445,1-O-Galloyl-Glucose,,,8107,,,,,
SMIT15799,"3Β-Hydroxy-16Α-Acetoxy-Lanosta-7,9(11),24-Trien-21-Oica<br>cid",,,9757,,,,,
SMIT15801,10-Hydroxyacetylbaccatin Vi,,,9762,,,,,
SMIT15813,3Β-P-Hydroxybenzoyldehydrotumulosicacid,,,9822,,,,,
SMIT15838,25-Hydroxy-3-Epidehydrotumulosicacid,,,10069,,,,,
SMIT16255,Lauricaldehyde,,,12565,,,,,
SMIT17072,Pachymicacid Methyl Ester,,,16486,,,,,
SMIT17226,Pinicolicacid A,,,17373,,,,,
SMIT17227,Pinidine,,5281689,17376,,,,,
SMIT17273,Polyporenicacid C,,,17650,,,,,
SMIT17295,Poricoicacid G,,,17713,,,,,
SMIT17296,Poricoicacid H,,,17714,,,,,
SMIT17407,Quinicacid,,,18406,,,,,
SMIT17863,Terchebulin,,16175789,20954,,,,,
SMIT17867,Terflavin A,,16175788,20958,,,,,
SMIT17869,Terminoicacid,,,20961,,,,,
SMIT18001,"1,3,6-Trigalloyl-Β-D-Glucose",,,21627,,,,,
SMIT18002,Triglochinin,,5281124,21628,,,,,
SMIT18109,Tumulosicacid Methyl Ester,,,22093,,,,,
SMIT18110,Turanose,,5460935,22102,,,,,
SMIT18129,Undecanoicacid,,8180,22202,,,,,
SMIT18130,Undecan-2-Ol,,15448,22203,,,,,
SMIT18488,D-Mannose,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",18950,23985,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT18523,Pentadecane,,12391,24095,,,,,
SMIT19125,Capsaicin (E),,,30733,,,,,
SMIT19177,Cis-4-Dodecenoic Acid,,5316956,30926,,,,,
SMIT19237,Hydrangeic Acid,,5318116,31128,,,,,
SMIT19440,Polyporenic Acid C,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",9805290,31825,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT19443,Porphyroxine,,12309641|601829,31831,,,,,
SMIT19747,"(2R)-2-[(3R,3Ar,6S,7S,9Br)-6-(3-Ethoxy-3-Oxopropyl)-3A,<br>6,9B-Trimethyl-7-Prop-1-En-2-Yl-1,2,3,4,7,8-Hexahydrocyclopenta[A]Naphthalen-3-Yl]-6-Methyl-5-Methylideneheptanoic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",102480393,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT19748,"(2R)-2-[(3R,5R,10S,13R,14R,16R,17R)-3,16-Dihydroxy-4,4,<br>10,13,14-Pentamethyl-2,3,5,6,7,11,12,15,16,17-Decahydro-1H-Cyclopenta[A]Phenanthren-17-Yl]-6-Methyl-5-Oxoheptanoic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",11465951,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT19866,"(5Ξ,20S)-24- Methylene-3- Oxolanosta-7,9(11)- Dien-21-O<br>ic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT19986,"(E,2R)-2-[(2R,3R,3Ar,6S,7S,9Br)-6-(2-Carboxyethyl)-2-Hy<br>droxy-3A,6,9B-Trimethyl-7-Prop-1-En-2-Yl-1,2,3,4,7,8-Hexahydrocyclopenta[A]Naphthalen-3-Yl]-7-Hydroxy-6-Methylhept-5-Enoic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/31749036/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp31749036</a> </kbd>",15225966,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20380,16-Deoxyporicoic Acid B,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",16736458,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20389,16-Oxy-Acetoxypachymic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT20390,16-Oxy-Acetoxypachymic Acid Methyl Ester,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT20392,"16Α,25-Hydroxydehydroeburicoinic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20397,16Α−Hydroxytrametenolic Acid+O2,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
SMIT20722,"2-[(2R,3R,3Ar,6S,7S,9Br)-6-(2-Carboxyethyl)-2-Hydroxy-3<br>A,6,9B-Trimethyl-7-Prop-1-En-2-Yl-1,2,3,4,5,7-Hexahydrocyclopenta[A]Naphthalen-3-Yl]-6-Methyl-5-Methylideneheptanoic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://dx.doi.org/10.1016/B978-0-12-811147-5.00010-8"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.1016/B978-0-12-811147-5.00010-8&nbsp</a><br> </kbd>",44556878,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20724,"2-[(3R,3Ar,6S,7S,9Br)-6-(2-Carboxyethyl)-3A,6,9B-Trimet<br>hyl-7-Prop-1-En-2-Yl-1,2,3,4,7,8-Hexahydrocyclopenta[A]Naphthalen-3-Yl]-6-Hydroxy-6-Methyl-5-Methylideneheptanoic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",44556811,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20784,"25-Hydroxl-3Β,16Α-Diacetoxylanosta-8-En-21-Oic Acid","<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20785,25-Hydroxy-Tumulosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20786,25-Hydroxypachymic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20787,25-Hydroxyporicoic Acid H,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",16736865,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20802,25Α-Hydroxytumulosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20805,26-Hydroxy-Dehydrotumuloosic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT20806,26-Hydroxy-Poricoic Acid G,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21096,3-Acetyloxy-16Α-Hydroxytrametenolic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21097,3-Acetylursolic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""https://doi.org/10.3969 /j.issn.1001-1528.2017.10.049"" style=""color:#FFFFFF"" target=""_blank"">&nbspDOI:10.3969 /j.issn.1001-1528.2017.10.049&nbsp</a><br> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21115,3-Epi-(3'-Hydroxy-3'-Methylglutaryloxyl)-Dehydrotum Ulo<br>sic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT21116,3-Epi-Dehydrotrametenolic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd><kbd style=""background: #5f605b; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/29985616/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp29985616</a> </kbd>",,,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br><kbd style=""background: #5f605b; color:#FFFFFF;""> Metabolic ingredients </kbd>"
