P_value,Orphanet_id,FDR(Bonferroni),Relationship,FDR(BH),Disease_id,Disease_name,OMIM_id
0.0,,0.022529,By_ingredient,1e-06,SMDE06538,Bordetella Infections,
0.000309,,1.0,By_ingredient,0.002213,SMDE06540,Borrelia Infections,
3.5e-05,,1.0,By_ingredient,0.000416,SMDE06577,Brain Edema,MTHU002553
0.000132,,1.0,By_ingredient,0.001153,SMDE06629,Bronchial Diseases,
0.000138,,1.0,By_MM_symptom|By_ingredient,0.001195,SMDE06633,Bronchial Spasm,MTHU001731
0.00057,,1.0,By_ingredient,0.003529,SMDE06635,Bronchiolitis,MTHU004683|MTHU040531
1.1e-05,,1.0,By_ingredient,0.000173,SMDE06691,Cachexia,MTHU037107
0.000498,,1.0,By_ingredient,0.003187,SMDE06693,Calcinosis,
0.000246,,1.0,By_ingredient,0.001859,SMDE06720,Canicola Fever,
0.000129,,1.0,By_ingredient,0.001138,SMDE06740,Carcinoma Of Lung,603113|211980
3.4e-05,,1.0,By_ingredient,0.000402,SMDE06771,Cardiomegaly,MTHU036393
7.8e-05,,1.0,By_ingredient,0.00077,SMDE06772,Cardiomyopathies,MTHU036362
0.000909,,1.0,By_ingredient,0.005036,SMDE06780,Cardiovascular Diseases,
0.000358,,1.0,By_ingredient,0.002479,SMDE06798,Carotid Stenosis,
0.000177,,1.0,By_ingredient,0.001448,SMDE06860,Central Neuroblastoma,
0.000305,,1.0,By_ingredient,0.002192,SMDE06928,Chagas Disease,
0.000305,,1.0,By_ingredient,0.002192,SMDE06930,Chagas' Disease + No Organ Inv,
4.9e-05,,1.0,By_ingredient,0.00054,SMDE06962,Chikungunya Fever,
0.000193,,1.0,By_ingredient,0.001547,SMDE07049,Cholestasis,MTHU001311
0.000328,,1.0,By_MM_symptom|By_ingredient,0.00232,SMDE07056,Cholesteatoma,
0.000297,,1.0,By_MM_symptom|By_ingredient,0.002148,SMDE07071,"Chondrosarcoma, Mesenchymal",
1.2e-05,,1.0,By_MM_symptom|By_ingredient,0.00018,SMDE07077,Chorioamnionitis,
7.3e-05,,1.0,By_ingredient,0.000733,SMDE07181,Chronic Fatigue Syndrome,
0.000254,,1.0,By_ingredient,0.001908,SMDE07203,Chronic Multifocal Osteomyelitis,259680
0.000163,,1.0,By_MM_symptom|By_ingredient,0.001354,SMDE07210,Chronic Periodontitis,260950
1e-05,,1.0,By_ingredient,0.00016,SMDE07397,Complex Regional Pain Syndromes,
4e-06,,1.0,By_ingredient,7.4e-05,SMDE07509,Congo Hemorrhagic Fever,
3.4e-05,,1.0,By_ingredient,0.000411,SMDE07598,Coxiella Burnetii Infection,
4.4e-05,,1.0,By_ingredient,0.000499,SMDE07636,Crohn'S Disease Of Large Bowel,MTHU037235
0.000792,,1.0,By_ingredient,0.00453,SMDE07651,Cryopyrin-Associated Periodic Syndromes,
0.000882,,1.0,By_MM_symptom|By_ingredient,0.004925,SMDE07697,"Cyst, Pulmonary Hydatid",
0.000183,,1.0,By_ingredient,0.001487,SMDE07698,Cystadenocarcinoma,
0.000676,,1.0,By_ingredient,0.004017,SMDE07709,Cysticercosis,
1e-06,,0.496366,By_ingredient,1.7e-05,SMDE07713,Cystitis,
1e-06,,0.481999,By_ingredient,1.6e-05,SMDE07764,Degenerative Polyarthritis,MTHU005547|MTHU005594|MTHU007552
3.7e-05,,1.0,By_ingredient,0.00043,SMDE07781,Demyelinating Diseases,
3.8e-05,,1.0,By_ingredient,0.000447,SMDE07817,"Dermatitis, Allergic Contact",
0.000618,,1.0,By_ingredient,0.003754,SMDE07824,Dermatologic Disorders,
2e-06,,1.0,By_ingredient,5e-05,SMDE07853,"Diabetes Mellitus, Insulin-Dependent",MTHU013561|MTHU012236|222100|MTHU006777|612227|MTHU047431|MTHU023582|MTHU007813
0.0,,0.050839,By_ingredient,3e-06,SMDE07854,"Diabetes Mellitus, Non-Insulin-Dependent",MTHU047504|167413|125853|138033|601724|138430|147545|164731|600281|MTHU014118|138160|600509|147670|189907|604641|MTHU006778|MTHU051483|MTHU023629|MTHU028982
1e-05,,1.0,By_ingredient,0.000163,SMDE07865,Diabetic Neuropathies,
1e-05,,1.0,By_ingredient,0.000158,SMDE07875,Diaphragmatic Hernia,MTHU001436
0.000705,,1.0,By_ingredient,0.004144,SMDE07877,"Diaphyseal Dysplasia 1, Progressive",131300
0.000311,,1.0,By_ingredient,0.002225,SMDE07906,Diffuse Astrocytoma,
4e-05,,1.0,By_ingredient,0.000465,SMDE07916,Digestive System Disorders,
1.8e-05,,1.0,By_MM_symptom|By_ingredient,0.000249,SMDE07917,Digestive System Neoplasms,
1.6e-05,,1.0,By_ingredient,0.000229,SMDE07972,Disorder Of Eye,
0.000713,,1.0,By_ingredient,0.00418,SMDE08045,Dry Eye Syndromes,
0.000705,,1.0,By_ingredient,0.004144,SMDE08085,Dysgerminoma Of Ovary,
0.000882,,1.0,By_ingredient,0.004925,SMDE08129,"Echinococcosis, Hepatic",
4e-06,,1.0,By_ingredient,7.3e-05,SMDE08221,"Encephalitis, Epidemic",
0.000238,,1.0,By_ingredient,0.001814,SMDE08248,"Endocarditis, Atypical, Verrucous",
6.2e-05,,1.0,By_ingredient,0.000647,SMDE08305,Entamoebiasis,
7e-06,,1.0,By_ingredient,0.000123,SMDE08443,Epithelial Hepatic And Intrahepatic Bile Duct Neoplasm,
0.000246,,1.0,By_ingredient,0.001859,SMDE08453,Equine Infectious Anemia,
9.2e-05,,1.0,By_ingredient,0.000873,SMDE08495,Esophageal Carcinoma,MTHU017591|133239
0.000469,,1.0,By_ingredient,0.003043,SMDE08501,Esophageal Neoplasms,
1.2e-05,,1.0,By_ingredient,0.000186,SMDE08507,Esophagitis,MTHU018345
2e-06,,1.0,By_ingredient,5.3e-05,SMDE08531,Ewings Sarcoma,612219|MTHU015822
2e-06,,1.0,By_MM_symptom|By_ingredient,5.2e-05,SMDE08532,Ewings Sarcoma-Primitive Neuroectodermal Tumor (Pnet),
0.000902,,1.0,By_ingredient,0.005009,SMDE08579,Extrinsic Allergic Alveolitis,
0.000236,,1.0,By_ingredient,0.001804,SMDE08591,Eye Neoplasms,
2.1e-05,,1.0,By_ingredient,0.000278,SMDE08685,Fatty Liver,MTHU030302|MTHU012425|MTHU014725
0.0,,0.012455,By_ingredient,1e-06,SMDE08686,"Fatty Liver, Alcoholic",
0.000311,,1.0,By_ingredient,0.002225,SMDE08733,Fibrillary Astrocytoma,
0.000246,,1.0,By_ingredient,0.001859,SMDE08748,Fiedler Disease,
0.000768,,1.0,By_ingredient,0.004423,SMDE08753,Filariasis,
0.000246,,1.0,By_ingredient,0.001859,SMDE08829,Fort Bragg Fever,
0.000736,,1.0,By_MM_symptom|By_ingredient,0.004287,SMDE08877,Fungal Mycetoma,
1e-06,,0.916994,By_ingredient,2.7e-05,SMDE08923,Gastric Adenocarcinoma,MTHU016128
0.000157,,1.0,By_MM_symptom|By_ingredient,0.001318,SMDE08946,"Gastritis, Atrophic",MTHU040126|MTHU037538
1.7e-05,,1.0,By_ingredient,0.000235,SMDE08955,Gastrointestinal Diseases,
0.0,,0.344062,By_ingredient,1.3e-05,SMDE08960,Gastrointestinal Neoplasms,
0.000651,,1.0,By_ingredient,0.003905,SMDE08999,"Genital Neoplasms, Female",
0.000685,,1.0,By_ingredient,0.004056,SMDE09039,Gingivitis,MTHU007445
0.000921,,1.0,By_ingredient,0.005087,SMDE09047,Glioblastoma,MTHU008964
6.8e-05,,1.0,By_ingredient,0.000697,SMDE09051,Glioma,MTHU011462
0.000363,,1.0,By_ingredient,0.002502,SMDE09067,Glossitis,MTHU037108
9.3e-05,,1.0,By_ingredient,0.000883,SMDE09208,Hamartomatous Polyp,MTHU017022
0.000685,,1.0,By_ingredient,0.004056,SMDE09209,Hamman-Rich Syndrome,
0.000347,,1.0,By_ingredient,0.00242,SMDE09259,Heart Valve Disease,MTHU007190|MTHU039983
9.4e-05,,1.0,By_ingredient,0.000892,SMDE09269,Helicobacter Infections,
9.8e-05,,1.0,By_ingredient,0.000922,SMDE09338,Hemolytic-Uremic Syndrome,MTHU037996
4e-06,,1.0,By_ingredient,7.4e-05,SMDE09348,"Hemorrhagic Fever, Crimean",
0.000246,,1.0,By_ingredient,0.001859,SMDE09351,Hemorrhagic Jaundice,
7e-06,,1.0,By_ingredient,0.000123,SMDE09358,Hepatic And Intrahepatic Bile Duct Neoplasm,
0.000297,,1.0,By_ingredient,0.002148,SMDE09375,"Hepatitis C, Chronic",
0.000291,,1.0,By_ingredient,0.002118,SMDE09383,"Hepatitis, Chronic",MTHU038293|MTHU046633
1.1e-05,,1.0,By_ingredient,0.000171,SMDE09386,Hepatoblastoma,MTHU007922|114550|191170
3.3e-05,,1.0,By_ingredient,0.000395,SMDE09462,Heterotopic Ossification,MTHU031760
0.000676,,1.0,By_ingredient,0.004017,SMDE09486,Histidinemia,609457|235800
0.000732,,1.0,By_ingredient,0.004267,SMDE09487,Histidinuria Renal Tubular Defect,235830
0.000264,,1.0,By_ingredient,0.001967,SMDE09490,Histiocytic Sarcoma,
0.000254,,1.0,By_ingredient,0.001908,SMDE09567,Hydrocephalus Adverse Event,
0.000713,,1.0,By_ingredient,0.00418,SMDE09593,Hypercalcemia,MTHU036717
0.000536,,1.0,By_ingredient,0.003371,SMDE09614,Hyperhomocysteinemia,603174
9.4e-05,,1.0,By_ingredient,0.000892,SMDE09648,Hypersensitivity,MTHU047042|MTHU030932
4.3e-05,,1.0,By_ingredient,0.000491,SMDE09668,Hypertrophic Cardiomyopathy,590035|MTHU038926|MTHU036522|MTHU037025
0.000325,,1.0,By_ingredient,0.002299,SMDE09757,Idiopathic Aortitis,
0.000448,,1.0,By_ingredient,0.002938,SMDE09791,Immune System Diseases,
0.000676,,1.0,By_ingredient,0.004017,SMDE09808,Inborn Errors Of Metabolism,
0.000408,,1.0,By_ingredient,0.002737,SMDE09827,Induced Malaria,
2.5e-05,,1.0,By_ingredient,0.000317,SMDE09839,Infantile Paralysis,
0.000329,,1.0,By_ingredient,0.002322,SMDE09869,Infectious Otitis Media,
2e-05,,1.0,By_ingredient,0.00027,SMDE09870,Infective Cystitis,
4e-05,,1.0,By_ingredient,0.00046,SMDE09981,Intervertebral Disc Degeneration,MTHU034632|MTHU014578
5e-05,,1.0,By_ingredient,0.000548,SMDE09982,Intervertebral Disc Disorder,603932
3e-06,,1.0,By_ingredient,5.9e-05,SMDE09987,Intestinal Diseases,MTHU003979
1.5e-05,,1.0,By_ingredient,0.000217,SMDE09992,Intestinal Neoplasms,
0.000264,,1.0,By_ingredient,0.001967,SMDE10011,Intracranial Hypertension,MTHU009512
1e-06,,0.662161,By_ingredient,2.1e-05,SMDE10094,Ischemia,
0.000246,,1.0,By_ingredient,0.001859,SMDE10109,"Jaundice, Infectious",
8e-06,,1.0,By_ingredient,0.000129,SMDE10155,Kaposi Sarcoma,
1.4e-05,,1.0,By_ingredient,0.000201,SMDE10161,Kashin-Beck Disease,
1.9e-05,,1.0,By_ingredient,0.000256,SMDE10173,Keratitis Sicca,
1.9e-05,,1.0,By_MM_symptom|By_ingredient,0.000256,SMDE10179,Keratoconjunctivitis Sicca,MTHU017601
8.8e-05,,1.0,By_MM_symptom|By_ingredient,0.000845,SMDE10183,Keratocystic Odontogenic Tumor,MTHU019336
0.0,,0.073051,By_ingredient,4e-06,SMDE10215,"Kidney Failure, Chronic",MTHU036763|MTHU038572|MTHU044662|MTHU037363|MTHU036597|MTHU036383
0.000251,,1.0,By_MM_symptom|By_ingredient,0.00189,SMDE10265,Lacrimal Apparatus Diseases,
4.2e-05,,1.0,By_ingredient,0.000481,SMDE10307,Laryngitis,
1e-05,,1.0,By_ingredient,0.000157,SMDE10371,Leishmaniasis,
0.000102,,1.0,By_ingredient,0.000951,SMDE10374,"Leishmaniasis, Cutaneous",
9.8e-05,,1.0,By_ingredient,0.000923,SMDE10375,"Leishmaniasis, Visceral",
0.000246,,1.0,By_ingredient,0.001859,SMDE10388,Leptospirosis,
0.000198,,1.0,By_ingredient,0.001576,SMDE10410,Leukocytosis,MTHU000211
6.7e-05,,1.0,By_ingredient,0.000683,SMDE10431,Lichen Planus,
5e-06,,1.0,By_ingredient,9e-05,SMDE10435,"Lichen Planus, Oral",
0.000941,,1.0,By_ingredient,0.005167,SMDE10456,Lipid Pneumonia,
0.000505,,1.0,By_ingredient,0.003222,SMDE10475,Listeriosis,
7e-06,,1.0,By_ingredient,0.000123,SMDE10480,Liver And Intrahepatic Biliary Tract Carcinoma,
0.000519,,1.0,By_ingredient,0.003289,SMDE10482,Liver Cirrhosis,MTHU018550|MTHU002081|MTHU008711
3.1e-05,,1.0,By_ingredient,0.000376,SMDE10483,"Liver Cirrhosis, Alcoholic",
0.000216,,1.0,By_ingredient,0.001686,SMDE10485,Liver Diseases,MTHU046632
4.6e-05,,1.0,By_ingredient,0.000516,SMDE10504,Localized Scleroderma,
0.000329,,1.0,By_ingredient,0.002322,SMDE10518,"Louse-Borne Relapsing Fever, Nos",
0.000126,,1.0,By_ingredient,0.001112,SMDE10547,"Lung Diseases, Interstitial",MTHU012852
4.5e-05,,1.0,By_ingredient,0.000504,SMDE10554,Lung Neoplasms,
0.000438,,1.0,By_ingredient,0.002891,SMDE10567,"Lupus Erythematosus, Cutaneous",
0.000279,,1.0,By_ingredient,0.002048,SMDE10568,"Lupus Erythematosus, Discoid",
0.000434,,1.0,By_ingredient,0.002868,SMDE10569,"Lupus Erythematosus, Systemic",152700|MTHU016290
0.000706,,1.0,By_ingredient,0.004152,SMDE10570,Lupus Nephritis,
0.000238,,1.0,By_ingredient,0.001814,SMDE10572,Lupus Vulgaris,
0.000309,,1.0,By_ingredient,0.002213,SMDE10573,Lyme Disease,
0.000309,,1.0,By_ingredient,0.002213,SMDE10575,Lyme Neuroborreliosis,
2e-06,,1.0,By_ingredient,4.5e-05,SMDE10577,Lymphadenitis,MTHU037495
2.5e-05,,1.0,By_ingredient,0.000322,SMDE10610,"Lymphoma, Aids-Related",
7.2e-05,,1.0,By_ingredient,0.000723,SMDE10612,"Lymphoma, Small Noncleaved-Cell",
8e-06,,1.0,By_ingredient,0.000137,SMDE10635,Macular Degeneration,MTHU003281|607921|607643|MTHU009380
4.8e-05,,1.0,By_ingredient,0.000531,SMDE10636,"Macular Degeneration, Age-Related, 1",608548|603075
4.6e-05,,1.0,By_ingredient,0.000515,SMDE10637,"Macular Degeneration, Age-Related, 2",153800
0.000622,,1.0,By_MM_symptom|By_ingredient,0.003774,SMDE10639,Macular Retinal Edema,MTHU031512
0.000408,,1.0,By_ingredient,0.002737,SMDE10652,"Malaria, Cerebral",
0.00021,,1.0,By_ingredient,0.001648,SMDE10662,Malig Neop Oth Spec Pancreas,
0.00017,,1.0,By_ingredient,0.001403,SMDE10663,Malig Neop Oth Spec Part Oesop,
7e-06,,1.0,By_ingredient,0.000123,SMDE10672,Malignant Hepato-Biliary Neoplasm,
0.000125,,1.0,By_MM_symptom|By_ingredient,0.001111,SMDE10676,"Malignant Lymphoma, Lymphocytic, Intermediate Differentiation, Diffuse",607585
0.00017,,1.0,By_ingredient,0.001403,SMDE10683,Malignant Neoplasm Of Abdominal Part Of Esophagus,
0.00021,,1.0,By_ingredient,0.001648,SMDE10684,Malignant Neoplasm Of Body Of Pancreas,
9.8e-05,,1.0,By_ingredient,0.000921,SMDE10686,Malignant Neoplasm Of Esophagus,MTHU023599
7e-06,,1.0,By_ingredient,0.000123,SMDE10689,Malignant Neoplasm Of Liver,114550
0.00017,,1.0,By_ingredient,0.001403,SMDE10690,Malignant Neoplasm Of Lower Third Of Esophagus,
0.00017,,1.0,By_ingredient,0.001403,SMDE10691,Malignant Neoplasm Of Middle Third Of Esophagus,
0.000205,,1.0,By_ingredient,0.001617,SMDE10692,Malignant Neoplasm Of Muscle,
0.000137,,1.0,By_ingredient,0.001188,SMDE10693,Malignant Neoplasm Of Pancreas,MTHU015030
0.00021,,1.0,By_ingredient,0.001648,SMDE10695,Malignant Neoplasm Of Tail Of Pancreas,
0.00017,,1.0,By_ingredient,0.001403,SMDE10697,Malignant Neoplasm Of Upper Third Of Esophagus,
0.000184,,1.0,By_ingredient,0.001492,SMDE10855,Meningitis,MTHU005994
3.6e-05,,1.0,By_ingredient,0.000427,SMDE10857,"Meningitis, Bacterial",
0.000438,,1.0,By_ingredient,0.002891,SMDE10988,Middle Ear Cholesteatoma,
8e-05,,1.0,By_ingredient,0.000788,SMDE11084,Morphea,
6e-06,,1.0,By_ingredient,0.000108,SMDE11099,Mouth Diseases,
4.9e-05,,1.0,By_ingredient,0.00054,SMDE11100,Mouth Neoplasms,
0.000246,,1.0,By_ingredient,0.001859,SMDE11133,Mud Fever,
0.000736,,1.0,By_MM_symptom|By_ingredient,0.004287,SMDE11197,Mycetoma Of Foot,
0.000229,,1.0,By_ingredient,0.001763,SMDE11210,Myelitis,
0.00013,,1.0,By_ingredient,0.001144,SMDE11212,"Myelitis, Transverse",
0.000442,,1.0,By_ingredient,0.002907,SMDE11222,Myocardial Ischemia,MTHU037875|MTHU038308
0.0,,0.39441,By_ingredient,1.4e-05,SMDE11223,Myocardial Reperfusion Injury,
0.000174,,1.0,By_ingredient,0.001427,SMDE11225,Myocarditis,
9.5e-05,,1.0,By_ingredient,0.000894,SMDE11258,Myosarcoma,
2e-05,,1.0,By_ingredient,0.000275,SMDE11300,Nasopharyngeal Neoplasms,
1e-06,,0.442857,By_ingredient,1.5e-05,SMDE11326,Necrosis,MTHU039302|MTHU002552
2e-06,,1.0,By_MM_symptom|By_ingredient,4.1e-05,SMDE11330,Necrotizing Enterocolitis,
1e-06,,0.515752,By_MM_symptom|By_ingredient,1.7e-05,SMDE11352,Neoplasm Invasiveness,
0.000292,,1.0,By_ingredient,0.002124,SMDE11369,"Neoplasms, Nerve Tissue",
0.000164,,1.0,By_ingredient,0.001366,SMDE11396,Neural Crest Tumor,
1.1e-05,,1.0,By_ingredient,0.00017,SMDE11418,Neuritis,
0.000309,,1.0,By_ingredient,0.002213,SMDE11423,Neuroborreliosis,
0.000676,,1.0,By_ingredient,0.004017,SMDE11426,Neurocysticercosis,
3.3e-05,,1.0,By_ingredient,0.000399,SMDE11441,Neurogenic Inflammation,
0.000601,,1.0,By_ingredient,0.003677,SMDE11454,Neuropathy,MTHU016030
0.000425,,1.0,By_MM_symptom|By_ingredient,0.002825,SMDE11500,Nodular Fasciitis,
0.000941,,1.0,By_ingredient,0.005167,SMDE11501,Nodular Goiter,MTHU052109|MTHU016742
0.000373,,1.0,By_ingredient,0.002558,SMDE11532,Non-Small Cell Lung Carcinoma,211980|147575
