MOL_id,Molecule_name,evidence,PubChem_CID,TCMID_id,TCMSP_id,OB_score,TCM_ID_id,CAS_id,type
SMIT00092,Curzerene,,12305301|572766|5316217|12305300,4414,MOL001112|MOL004258,33.1108,5350,17910-09-7,
SMIT00097,Alpha-Terpineol,,17100|443162,23119|24092|25206,MOL001226,34.0087,6870,98-55-5,
SMIT00100,Myristic Acid,,11005,15195|23167,MOL001393,21.1812,13232|16875,45184-05-2|544-63-8,
SMIT00105,Citric Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",311,23224|3766,MOL001456,56.2199,5608,77-92-9,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00119,Uracil,,1174,22221,MOL001744,42.5256,265,66-22-8,
SMIT00121,Adenine,,190,617,MOL001788,62.8058,7163,73-24-5|73-42-5,
SMIT00133,Isoimperatorin,,68081,11459,MOL001942|MOL011972,45.4642,3417,482-45-1,
SMIT00181,Naphthalene,,931,15244|23316|24608,MOL003493,27.5543,2431,91-20-3,
SMIT00183,Angelicin,,10658,1191,MOL003590,19.6002,6787,523-50-2,
SMIT00200,Curdione,,131675179|5362828|518796|6441391|5316216|10466651,4399,MOL004255,38.9431,5356,13657-68-6,
SMIT00201,Neocurdione,,24836956|518796|10466651|5316216,15371,MOL004287,36.6488,2376,,
SMIT00203,O-Cresol,,335,4232,MOL004479,62.454,2167,95-48-7,
SMIT00265,Phosphatidylinositol,,,25184,MOL007349|MOL008248|MOL011430,8.96258,1789,97281-52-2,
SMIT00345,Phosphatdic Acid,,,23290,MOL008246,19.3183,1792,97281-52-2,
SMIT00393,Isoeugenol,,853433,11418,MOL000206,70.1003,,5932-68-3|97-54-1,
SMIT00425,Sucrose,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1115|5988,20430,MOL000842,7.17082,,25702-74-3|57-50-1,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT00426,Tetradecane,,12389,21024,MOL000886,15.9423,,629-59-4|90622-46-1,
SMIT00444,Β-Selinene,,,19672,MOL001167,20.7229,,17066-67-0,
SMIT00446,Β-Bisabolene,,,2412,MOL001171,24.5878,,,
SMIT00447,Α-Copaene,,,4029,MOL001176|MOL007510|MOL008257,22.1585,,3856-25-5,
SMIT00478,Lecithin,,,25011,MOL001943|MOL008290|MOL011415,0.266908,,8002-43-5,
SMIT00483,Hexanoic Acid,,8892,23052,MOL002046,73.0752,,142-62-1,
SMIT00513,Guanosine,,135398635,9070,MOL002687,21.4264,,118-00-3,
SMIT00603,Suchilactone,,132350840,20429,MOL005384,57.5188,,50816-74-5,
SMIT00641,Bicycloelemene,,101973934|76419358|56842786|15801109|91746561,2351,MOL006440,20.8882,,32531-56-9,
SMIT00727,Α-Acoradiene,,,555,MOL008255,40.9845,,28400-13-7,
SMIT00809,Α-Cedrene,,,3350,MOL011445,50.9026,,469-61-4,
SMIT00863,"1,1,5-Trimethyl-2-Formylcyclohexa-2,5-Diene-4-One",,,21941,MOL008272,48.9429,,23985-22-0,
SMIT01042,"(-)-Guaia-1(10),11-Dien-15-Al",,,25627,MOL003839,29.7132,,,
SMIT01162,20-Hexadecanoylingenol,,,9488,MOL002307|MOL011455,28.204,,,
SMIT01170,2-Methyldodecan-5-One,,5319599,14323,MOL008270,13.1616,,,
SMIT01194,Stigmasteryl Ferulate,,15056831,20360,MOL008408,24.5296,,,
SMIT01274,Archangelicin,,133562226|6450203|3083773|72734291|5281371,1619,,,6709,,
SMIT01317,Camphene,,6616,3045,,,6002,79-95-5,
SMIT01326,Carvacrol,,10364,3231,,,14438,,
SMIT01358,Cumaldehyde,,326,4353,,,22255,,
SMIT01360,Curcumenol,,167812|92281781|387977|12304275|146157854,4392,MOL004249,91.7846,5364,19431-84-6,
SMIT01361,Curcumin,,969516,4397,MOL000090,5.15077,5362,458-37-7|485-37-7,
SMIT01362,Curzerenone,,5315433|10376566|137705001|3081930,4415,,,5349,,
SMIT01399,Epicurzerenone,,5317062|5315433|25765971,6875,MOL004264,65.1163,4601,,
SMIT01484,Linalyl Acetate,,8294,12844,,,2957,115-95-7,
SMIT01513,5-O-Methylvisamminol,,441970,14804,MOL011753,37.9901,24370,80681-42-1,
SMIT01519,Myrcene,,31253,15138,MOL000197,24.9638,2480,123-35-3,
SMIT01521,Myristicin,,4276,15196,MOL000261,17.9854,2474,607-91-0,
SMIT01580,Procurcumenol,,189061,17861,,,1643,21698-40-8,
SMIT01613,Scopoletin,,5280460,19527,,,1158,92-61-5,
SMIT01614,Scopolin,,439514,19530,MOL000216,22.9087,1157,531-44-2,
SMIT01630,Stigmasterol,,5280794,20353,MOL000449|MOL002045,43.8299,747,83-48-7,
SMIT01658,Vitamin B1,,6042|574516|6202|1130|46856306,22538|22540|22541,,,158,,
SMIT01671,Chlorogenic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",1794427,23122|3551,MOL003871,13.6079,5758,327-97-9,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT01677,Limonene,,439250|22311,23184,,,2964,138-86-3|6989-27-5,
SMIT01695,3-Carene,,26049,23284,,,8161,13466-78-9,
SMIT01735,2-Methyl-3-Buten-2-Ol,,8257,23403,,,8578,115-18-4,
SMIT01748,Cadinene,,3032853,23436,MOL003534,17.1183,6034,523-47-7,
SMIT01760,Ethanol,,702,23458,,,4496,64-17-5,
SMIT01860,Ferulic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://www.cqvip.com/QK/92286X/201107/38433416.html"" style=""color:#FFFFFF"" target=""_blank"">&nbsp通塞脉微丸血清药物化学的初步研究 &nbsp</a><br><a href=""http://cdmd.cnki.com.cn/article/cdmd-90032-1016700497.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp中药安替可胶囊的物效基础及配伍机制研究 &nbsp</a><br> </kbd>",445858,23696|7767,MOL002665,40.4343,4369,1135-24-6,"<kbd style=""background: #284f95; color:#FFFFFF;""> QC ingredients </kbd><kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT01926,Alpha-Pinene,,6654,23880,,,6885,2439-95-8,
SMIT01996,"2,4-Dimethylbenzaldehyde",,61814,24059|24419,,,8890,15764-16-6,
SMIT02005,Beta-Myrcene,,31253,24098,,,12483,,
SMIT02082,Gqeieureulactene,,,24309,,,3905,,
SMIT02121,Azelaic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",2266,2056|24407,,,6449,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT02187,Butanoic Acid,,264,24572,,,6059,107-92-6,
SMIT02250,Nonanal,,31289,24697,MOL000116,40.2763,23428,75718-12-6,
SMIT02254,1-Tridecene,,17095,24707,,,9093,2437-56-1,
SMIT02256,6-Undecanol,,32045,24710,,,7518,23708-56-7,
SMIT02275,Hexadecanoic Acid,,985,24748|9485,,,16017|16457,,
SMIT02293,Sederone,,,24794,,,1049,,
SMIT02312,Epicurcumenol,,,24840,,,4602,,
SMIT02353,Cedrol,,65575,24939,MOL000875,16.2345,5832,13567-37-8|77-53-2,
SMIT02450,Beta-Phellandrene,,11142,28770,,,6260,,
SMIT02712,Hemo-Sol,,440917,,MOL000023,39.841,,5989-27-5,
SMIT02726,Scopoletol,,5280460,,MOL000040,27.7735,,92-61-5,
SMIT02786,Cymol,,7463,,MOL000117,27.2038,,4939-75-7,
SMIT02790,Decanal,,8175,4832,MOL000121,29.8051,,112-31-2,
SMIT02791,(-)-Alpha-Pinene,,440968,,MOL000125,46.2498,,7785-26-4,
SMIT02819,Beta-Chamigrene,,442353|12302844|29073,,MOL000162,31.9912,,18431-82-8,
SMIT02847,Safrol,,5144,,MOL000199,45.3367,,94-59-7,
SMIT02849,P-Ocimene,,5281553,,MOL000201,15.0605,,27400-72-2,
SMIT02850,Moslene,,7461,,MOL000202,33.0164,,99-85-4,
SMIT02876,()-Alpha-Terpineol,,,,MOL000232,46.2978,,7785-53-7,
SMIT02899,O-Thymol,,10364,,MOL000259,43.2813,,499-75-2,
SMIT02909,Chebi:7,,443156,,MOL000270,45.1981,,498-15-7,
SMIT02974,Sitogluside,,5742590,,MOL000357,20.6319,,474-58-8,
SMIT02975,Fer,,,,MOL000360,39.5585,,537-98-4,
SMIT02997,"D-Galacturonic Acid, Homopolymer",,84740,,MOL000383,29.7523,,11100-11-1,
SMIT03001,Ferulic Acid (Cis),,1548883,,MOL000389,54.9655,,1014-83-1,
SMIT03074,Eucarvone,,136330,,MOL000478,53.1361,,503-93-5,
SMIT03075,Farnesene,,5281516,,MOL000479,17.4181,,18452-58-9,
SMIT03083,"(1S,4Ar,8Ar)-1-Isopropyl-7-Methyl-4-Methylene-2,3,4A,5,<br>6,8A-Hexahydro-1H-Naphthalene",,,,MOL000489,19.8025,,1460-97-5,
SMIT03246,Wln: Vh6,,8130,,MOL000705,19.588,,111-71-7,
SMIT03304,6-O-E-Feruloylajugol,,,7768,MOL000778,26.13,,,
SMIT03392,Dodekan,,8182,,MOL000885,17.7374,,112-40-3,
SMIT03453,Bergamotene,,521569,,MOL000967,28.5115,,15438-93-4,
SMIT03460,Cuminal,,326,,MOL000974,38.286,,122-03-2,
SMIT03663,Loxanol V,,8209,,MOL001212,14.1899,,63393-82-8,
SMIT03674,Tridecylene,,17095,,MOL001224,17.6901,,2437-56-1,
SMIT03720,80-57-9,,29025|65724|92874,,MOL001273,50.6314,,80-57-9,
SMIT03746,Usaf Hc-1,,5192,,MOL001302,16.2252,,32734-00-2,
SMIT03750,O-Acetyl-P-Cresol,,15068,,MOL001306,24.9649,,1450-72-2,
SMIT03757,Azelex,,2266,,MOL001314,16.9001,,32733-99-6,
SMIT03824,(+)-Ledol,,22297324|6432561|11074994,,MOL001388,16.9555,,577-27-5,
SMIT03970,Hypnon,,7410,,MOL001578,48.1926,,98-86-2,
SMIT04023,Non,,,,MOL001640,26.7381,,334-48-5,
SMIT04289,Cnidilin,,821449,3856,MOL001956,32.6874,,14348-22-2,
SMIT04346,()-Cuparene,,,,MOL002029,38.2631,,16982-00-6,
SMIT04349,Cis-Thujopsene,,6432451|97829|442402|11401461,,MOL002033,56.4261,,470-40-6,
SMIT04402,3-Butylidene-7-Hydroxyphthalide,,5281559,,MOL002098,62.6758,,93236-67-0,
SMIT04406,Levistolid A,,70698035,,MOL002102,2.15037,,88182-33-6,
SMIT04414,Allocymene,,5368821,,MOL002110,14.8854,,673-84-7,
SMIT04415,Bdph,,642376,,MOL002111,42.4414,,551-08-6,
SMIT04429,Cnidilide,,160710,3855,MOL002127,77.5515,,3674-03-1,
SMIT04444,Senkyunolide-C,,642374,,MOL002143,46.8048,,63038-10-8,
SMIT04445,Senkyunolide-D,,11264524,,MOL002144,79.1298,,93236-67-0,
SMIT04446,Senkyunolide-E,,11830530,,MOL002145,34.4025,,91652-78-7,
SMIT04470,"3(S)-3-Butyl-4,5-Dihydrophthalide",,,2791,MOL002173,25.7608,,,
SMIT04476,4-Octanone,,11516,24012,MOL002180,19.3745,,589-63-9,
SMIT04479,"(6R)-6-Butylcyclohepta-1,4-Diene",,,,MOL002184,31.6935,,33156-91-1,
SMIT04494,Cis-Ligustilide,,5319022,,MOL002201,51.3003,,4431-01-0,
SMIT04500,Senkyunolide A,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/17154345/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp17154345</a>;<br><a href=""http://cdmd.cnki.com.cn/Article/CDMD-10572-1016276758.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp当归芍药散治疗AD的入血生物活性成分及复方对其生物利用度的影响 &nbsp</a><br> </kbd>",3085257,,MOL002208,26.5613,,63038-10-8,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT04705,Methylbutenol,,8257,,MOL002480,54.5783,,115-18-4,
SMIT04722,Campherenol,,91747494,3046,MOL002500|MOL005061,18.2528,,18530-03-5,
SMIT05005,Pcr,,2879,,MOL002830,51.9864,,72269-62-6,
SMIT05119,"(4S)-1-Methyl-4-(6-Methylhepta-1,5-Dien-2-Yl)Cyclohexen<br>e",,10104370,,MOL002972,20.3016,,495-61-4,
SMIT05129,Guasol,,460,,MOL002983,51.5953,,8021-39-4,
SMIT05142,Iph,,,,MOL002998,36.0504,,,
SMIT05202,Neochlorogenic Acid,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a> </kbd>",5280633,23785,MOL003066,10.6495,,906-33-2,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT05636,Acoradiene,,90351,,MOL003587,36.7257,,24048-44-0,
SMIT05858,Folinic Acid,,135403648,30968,MOL003845,23.6004,,21314,
SMIT06149,Stigmasterol-Beta-D-Glucoside,,,23887,MOL004187,4.0798,,,
SMIT06394,Maruzen M,,,,MOL004474,48.4407,,29471-88-3,
SMIT06410,Chrysanthemaxanthin,,21160900,3592,MOL004492,38.724,,26989-20-8,
SMIT06414,12-O-Nicotinoylisolineolone,,,15520,MOL004498,20.7043,,,
SMIT06503,"6,7,3',8'-Diligustilide",,,,MOL004613,9.83316,,89354-45-0,
SMIT06585,Beta-Terpinene,,66841,,MOL004723,42.2893,,99-84-3,
SMIT06594,Butal,,261,,MOL004734,68.6578,,123-72-8,
SMIT06637,Pimpinellin,,4825,,MOL004781,19.395,,477-90-7,
SMIT06646,Ethol,,2682,,MOL004791,13.3229,,36311-34-9,
SMIT06771,Uralene,,192490,22222,MOL004936,11.7036,,150853-99-9,
SMIT06927,Ann,,,,MOL005125,29.6852,,100-09-4,
SMIT07204,H-Met-H,,6137,,MOL005449,70.8663,,26062-47-5,
SMIT07319,"3,4-Dimethylbenzaldehyde",,22278,,MOL005589,39.9945,,5973-71-7,
SMIT07320,Ethylbenzaldehyde,,123406,,MOL005590,40.9534,,4748-78-1,
SMIT07337,Tmhydrop,,12785,,MOL005608,54.4164,,700-13-0,
SMIT08374,Phyllanthin,,358901,17201,MOL006812,33.3104,,10351-88-9,
SMIT08410,Wln: Qr Cq Dv1,,6990,,MOL006869,36.4914,,89-84-9,
SMIT09123,Wln: Qvr Bvq,,1017,,MOL007745,17.7354,,88-99-3,
SMIT09472,Sebiferic Acid,,5321206|102090422,25317,MOL008147,7.95842,,52809-09-3,
SMIT09560,"(1R,2S,4R)-1-Ethyl-1-Methyl-2,4-Bis(1-Methylethyl)Cyclo<br>hexane",,,,MOL008244,15.0082,,515-12-8,
SMIT09561,Dodecene,,8183,,MOL008245,17.7407,,68526-58-9,
SMIT09562,"L-Beta,Gamma-Dimyristoyl-Alpha-Cephalin",,,,MOL008247,20.6852,,90989-93-8,
SMIT09563,Phosphatidylinositol_Qt,,,,MOL008249,12.6625,,383907-36-6,
SMIT09564,Esen,,6811,,MOL008250,47.3129,,85-44-9,
SMIT09565,Sedanolide,,5018391,,MOL008251,62.4583,,6415-59-4,
SMIT09566,Senkyunolide,,3085257,,MOL008252,68.2779,,63038-10-8,
SMIT09567,Sphingomyelin,,,,MOL008253|MOL012938,0.311397,,85187-10-6,
SMIT09568,Isotetandrine,,5351212,,MOL008254,10.4225,,477-57-6,
SMIT09569,"Inchi=1/C15H24/C1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11<br>(15)2/H7,11-13H,5-6,8-9H2,1-4H",,,,MOL008256,55.561,,469-61-4,
SMIT09570,"(1R,4R,5S)-4-Isopropenyl-1,8-Dimethylspiro[4.5]Dec-8-En<br>e",,,,MOL008258,40.6509,,,
SMIT09571,"2,6-Di(Phenyl)Thiopyran-4-Thione",,,,MOL008259,69.1337,,1029-97-6,
SMIT09572,O-Xylenol,,10687,,MOL008260,53.1288,,526-75-0,
SMIT09573,"2,4,6-Trimethyl-Octane",,545612,,MOL008261,29.1407,,62016-37-9,
SMIT09574,Mesitaldehyde,,10254,,MOL008262,37.8033,,487-68-3,
SMIT09575,Isoxylaldehyde,,22015,,MOL008263,38.8499,,5779-94-2,
SMIT09576,(E)-Octadec-3-Ene,,5365984,,MOL008264,19.5002,,7206-19-1,
SMIT09577,2-Valerylbenzoic Acid,,5315165,,MOL008265,78.26,,64624-87-9,
SMIT09578,(Z)-2-Hexenyl Hexanoate,,6436647,,MOL008266,19.3928,,53398-86-0,
SMIT09579,2-Methylhexadecanoic Acid,,117384,,MOL008267,20.2279,,2490-53-1,
SMIT09580,Cis-Isoeugenol,,1549041,,MOL008268,20.7267,,5912-86-7,
SMIT09581,2-Methyl-5-Decanone,,537777,,MOL008269,20.3986,,54410-89-8,
SMIT09582,"3,7-Dimethyl-Nonane",,,,MOL008271,16.9723,,17302-32-8,
SMIT09583,4-Methyl-6-Hepten-3-One,,117297,,MOL008273,78.3754,,26118-97-8,
SMIT09584,6-Ethylresorcinol,,17927,,MOL008274,46.4483,,2896-60-8,
SMIT09585,5-Indolol,,16054,,MOL008275,63.1379,,1953-54-4,
SMIT09586,Undecanol-6,,32045,,MOL008276,25.7686,,23708-56-7,
SMIT09587,"7,10-Pentadecadiynoic Acid",,30942,25362,MOL008277,41.4964,,22117-06-2,
SMIT09588,4-Chloro-N-[1-Methyl-5-[[1-Methyl-5-[[1-Methyl-5-(2-Mor<br>pholinoethylcarbamoyl)Pyrrol-3-Yl]Carbamoyl]Pyrrol-3-Yl]Carbamoyl]Pyrrol-3-Yl]-5-[2-(2-Pyridyl)Ethylamino]Isothiazole-3-Carboxamide,,488866,,MOL008278,7.18242,,210045-96-8,
SMIT09589,Amyl Ketone,,13561,,MOL008279,18.6488,,71808-49-6,
SMIT09590,Isoamylbenzene,,16294,,MOL008280,35.6936,,2049-94-7,
SMIT09591,(Z)-2-[[(Z)-2-Methylbut-2-Enoyl]Oxymethyl]But-2-Enoic A<br>cid,,,,MOL008281,77.101,,69188-40-5,
SMIT09592,Tropone,,10881,,MOL008282,47.4056,,539-80-0,
SMIT09593,Aromadendrene,,11095734|91354|12305243|177445|91746456,,MOL008283,18.2125,,489-39-4,
SMIT09594,Bua,,264,,MOL008284,21.6212,,107-92-6,
SMIT09595,(3S)-3-Butyl-3H-Isobenzofuran-1-One,,,,MOL008285,55.0516,,6066-49-5,
SMIT09596,()-Camphoric Acid,,,,MOL008286,99.1288,,560-09-8,
SMIT09597,(3E)-3-Butylidene-7-Hydroxy-2-Benzofuran-1-One,,,,MOL008287,42.1735,,103659-69-4,
SMIT09598,Coniferyl Ferulate,,6441913,,MOL008288,4.54324,,63644-62-2,
SMIT09599,"2,4-Xylylaldehyde",,61814,,MOL008291,39.326,,15764-16-6,
SMIT09600,M-Ethylphenol,,12101,7471,MOL008292,51.3027,,620-17-7,
SMIT09601,"1,5,5,6-Tetramethyl-1,3-Cyclohexadiene",,10581,,MOL008293,39.2229,,514-94-3,
SMIT12320,Isofernene,,,11422,MOL011414,15.4896,,1750-35-2,
SMIT12634,Ligustilide,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/17154345/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp17154345</a>;<br><a href=""http://cdmd.cnki.com.cn/Article/CDMD-10572-1016276758.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp当归芍药散治疗AD的入血生物活性成分及复方对其生物利用度的影响 &nbsp</a><br> </kbd>",5319022,12819,MOL011782,23.5028,,4431-01-0,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT12637,Senkyunolide D,,11264524,19719,MOL011785,35.3859,,,
SMIT12638,Senkyunolide E,,11830530,19720,MOL011786,36.7511,,,
SMIT13308,"3,7-Dimethylnonane",,28458,,MOL012564,15.3052,,17302-32-8,
SMIT14173,Β-Acoradiene,,,556,,,,,
SMIT14174,Γ-Acoradiene,,,557,,,,,
SMIT14175,Δ-Acoradiene,,,558,,,,,
SMIT14178,Adeninenucleoside,,,618,,,,,
SMIT14242,Alloocimene,,5368821,939,,,,,
SMIT14297,Angelicide,,5316848,1190,,,,,
SMIT14316,Anisicacid,,,1284,,,,,
SMIT14500,Brefeldin A,,71308166|657314|25102665|5477951|2430|44634639|7067352|<br>6364669|24123450|5287620|5362868|133640201|5353446|133611967|5351204|6436187|137704811,2600,,,,,
SMIT14535,3-Butylidene-Phalide,,,2797,,,,,
SMIT14537,Sec-Butyl Isothiocyanate,,78151,2799,,,,,
SMIT14556,Camphoricacid,,,3051,,,,,
SMIT14594,Carvacrol Acetate,,80792,3232,,,,,
SMIT14795,M-Cresol,,342,4231,,,,,
SMIT14796,P-Cresol,,2879,4233,,,,,
SMIT14797,Crinamine,,258957|16667677|6708515|73620|118701061|500027|12096833,4236,,,,,
SMIT15045,"2,3-Dicresol",,,5441,,,,,
SMIT15046,Dictamnine,,68085,5444,,,,,
SMIT15084,"Δ2,4-Dihydrophthalicanhydride",,,5692,,,,,
SMIT15085,Dihydropinosylvin,,442700,5693,,,,,
SMIT15096,"2',4'-Dihydroxyacetophenone",,6990,5748,,,,,
SMIT15155,Dimethyl Azelate,,15612,6316,,,,,
SMIT15156,"1,2-Dimethylbenzene",,7237,6317,,,,,
SMIT15161,Dimethyl Camphorate,,348846,6329,,,,,
SMIT15175,Dimethyl Sebacate,,7829,6405,,,,,
SMIT15177,Dimethyl Sulfone,,6213,6407,,,,,
SMIT15203,Dodecane,,8182,6540,,,,,
SMIT15204,Dodecanol,,8193,6541,,,,,
SMIT15205,Dodecenoicacid,,,6543,,,,,
SMIT15340,P-Ethylphenol,,31242,7472,,,,,
SMIT15341,Ethyl-P-Methoxycinnamate,,3032313,7473,,,,,
SMIT15344,4-Ethylresorcinol,,17927,7476,,,,,
SMIT15345,Eucalyptin,,76573,7479,,,,,
SMIT15405,Foliosidine,,2837663,7853,,,,,
SMIT15682,Guaiacol,,460,9020,,,,,
SMIT15727,Heptanal,,8130,9406,,,,,
SMIT15779,Homosenkyunolide H,,,9617,,,,,
SMIT15780,Homosenkyunolide I,,,9618,,,,,
SMIT16013,Isocnidilide,,12315453,11333,,,,,
SMIT16014,Isococculidine,,442300,11334,,,,,
SMIT16299,Ligustilide Dimer,,,12820,,,,,
SMIT17161,Phellatin,,44258781,17043,,,,,
SMIT17167,Phenol,,996,17075,,,,,
SMIT17204,Phthalicanhydride,,2761400,17190,,,,,
SMIT17437,Retinol,,445354,18641,,,,,
SMIT17636,Sebacicacid,,5192,19581,,,,,
SMIT17670,Senkyunolide H,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0""><a href=""http://cdmd.cnki.com.cn/Article/CDMD-10026-1016069849.htm"" style=""color:#FFFFFF"" target=""_blank"">&nbsp当归药效物质基础的红外表征与体内外吸收代谢的相关性研究 &nbsp</a><br> </kbd>",13965088|3025856|10036567|5316704|131874235|5321251,19723,,,,,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT17885,1-Tetradecanol,,8209,21025,,,,,
SMIT17897,"Z-3',8',3'Α,7'Α-Tetrahydro-6,3',7,7'Α-Diligustilide-8'-<br>One",,,21052,,,,,
SMIT18039,"2,4,6-Trimethylbenzaldehyde",,10254,21925,,,,,
SMIT18150,Valerosidatum,,10457051,22307,,,,,
SMIT18154,Vanillin Acetate,,61229,22321,,,,,
SMIT18295,Succinic Acid(High Dose),,1110,23022,,,,110-15-6,
SMIT18305,Z-Ligustilide,,642376|5877292|5319022,23096,,,,81944-09-4,
SMIT18312,Butylphthalide,"<kbd style=""background: #ff8a80; color:#FFFFFF; padding-left:0"">&nbspPMID:<a href=""https://pubmed.ncbi.nlm.nih.gov/30682694/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30682694</a>;<a href=""https://pubmed.ncbi.nlm.nih.gov/30675752/"" style=""color:#FFFFFF"" target=""_blank"">&nbsp30675752</a>;<br> </kbd>",61361,23156,,,,6066-49-5,"<kbd style=""background: #ff8a80; color:#FFFFFF;""> Blood ingredients </kbd><br>"
SMIT18347,Tridecane,,12388,23371,,,,,
SMIT18367,Decanoic Acid,,2969,23454,,,,,
SMIT18370,1-Hexadecanol,,2682,23464,,,,,
